"0","Elegant Chrysanthemum","16","35.75","122","True"
"1","Trailing Blueberry","53","16.68","250","True"
"2","Frosty Echeveria","43","152.07","133","True"
"3","Silver Tomato","49","143.43","705","True"
"4","Exuberant Christmas Cactus","77","24.09","805","True"
"5","Hardy String of Pearls","27","35.96","590","True"
"6","Dwarf Jade Plant","25","44.98","358","True"
"7","Spiky Potato","13","34.33","540","True"
"8","Lush Dill","40","121.83","730","True"
"9","Graceful Strawberry","8","71.31","716","True"
"10","Giant Chives","43","137.97","3","True"
"11","Soft Lily","28","75.27","357","True"
"12","Smooth Crown of Thorns","75","50.48","505","True"
"13","Compact Mint","96","83.32","964","True"
"14","Smooth Oregano","55","3.76","806","True"
"15","Leafy Panda Plant","30","37.33","235","True"
"16","Dwarf String of Pearls","88","77.38","143","True"
"17","Thorny Zebra Haworthia","77","63.41","155","True"
"18","Vibrant Jade Plant","94","143.11","884","True"
"19","Elegant Basil","35","27.63","345","True"
"20","Bold Panda Plant","40","157.10","824","True"
"21","Royal Strawberry","75","59.85","692","True"
"22","Medicinal Potato","75","75.20","40","True"
"23","Silver Ghost Plant","11","70.01","27","True"
"24","Trailing Jade Plant","94","20.39","265","True"
"25","Miniature Spinach","54","169.40","436","True"
"26","Shady Potato","72","107.17","664","True"
"27","Verdant Basil","5","170.78","706","True"
"28","Delicate Pepper","1","135.82","116","True"
"29","Woody Peony","43","152.53","460","True"
"30","Tropical Chives","30","91.38","584","True"
"31","Wild Marigold","17","121.13","907","True"
"32","Spiky Basil","41","113.88","894","True"
"33","Evergreen Lily","29","109.14","447","True"
"34","Sweet Jade Plant","80","26.39","456","True"
"35","Giant Dill","6","67.21","400","True"
"36","Glossy Strawberry","56","154.16","581","True"
"37","Trailing Basil","1","104.24","141","True"
"38","Classic Strawberry","80","41.66","950","True"
"39","Sweet Lily","53","23.29","910","True"
"40","Textured Aloe Vera","28","49.46","305","True"
"41","Woody Rosemary","43","75.58","503","True"
"42","Verdant Rosemary","29","128.76","42","True"
"43","Golden Tarragon","54","87.35","301","True"
"44","Hardy Basil","38","110.90","568","True"
"45","Giant Oregano","96","127.75","20","True"
"46","Sunny Chrysanthemum","27","72.54","19","True"
"47","Hearty Parsley","90","49.92","710","True"
"48","Exotic Daffodil","59","20.30","292","True"
"49","Budding Blueberry","64","165.64","999","True"
"50","Fragrant Marigold","53","166.28","927","True"
"51","Compact Panda Plant","3","5.53","950","True"
"52","Hardy Cilantro","16","21.75","543","True"
"53","Sweet Lemon","8","57.10","269","True"
"54","Giant Christmas Cactus","55","170.12","593","True"
"55","Graceful Christmas Cactus","5","97.85","727","True"
"56","Blooming Basil","84","96.15","457","True"
"57","Fresh Parsley","17","22.01","275","True"
"58","Soft Marigold","41","41.45","509","True"
"59","Prickly Blueberry","17","60.27","299","True"
"60","Cascading Tomato","90","90.24","797","True"
"61","Elegant Christmas Cactus","56","38.18","668","True"
"62","Delicate Jade Plant","75","127.27","505","True"
"63","Medicinal Jade Plant","8","47.19","334","True"
"64","Hearty Aloe Vera","84","70.87","15","True"
"65","Verdant Cilantro","84","39.33","838","True"
"66","Blooming String of Pearls","94","161.09","645","True"
"67","Vibrant String of Dolphins","89","112.65","547","True"
"68","Lush Cucumber","94","61.54","954","True"
"69","Vibrant Sage","95","190.30","458","True"
"70","Medicinal Mint","26","164.68","58","True"
"71","Colorful Aloe Vera","19","174.47","108","True"
"72","Delicate Mint","83","109.35","581","True"
"73","Giant Tomato","1","148.08","950","True"
"74","Lush Lemon","27","164.63","358","True"
"75","Trailing Rosemary","96","48.11","189","True"
"76","Wild Oregano","94","17.03","444","True"
"77","Bushy Mint","17","31.43","606","True"
"78","Exotic Marigold","30","82.14","700","True"
"79","Cascading Rosemary","28","40.42","307","True"
"80","Sunny Peony","83","135.14","858","True"
