"71","90","10"
"71","90","68"
"71","90","79"
"71","90","2"
"88","75","73"
"88","75","59"
"88","75","32"
"88","75","74"
"88","75","75"
"88","75","96"
"88","75","28"
"88","75","38"
"88","75","30"
"88","75","66"
"88","75","56"
"88","75","10"
"88","75","81"
"88","75","88"
"88","75","67"
"88","75","70"
"88","75","17"
"88","75","68"
"88","75","97"
"88","75","4"
"88","75","36"
"64","33","79"
"64","33","16"
"64","33","65"
"64","33","50"
"64","33","21"
"64","33","51"
"64","33","42"
"64","33","76"
"64","33","82"
"64","33","3"
"64","33","36"
"64","33","73"
"64","33","35"
"64","33","33"
"64","33","44"
"64","33","31"
"64","33","85"
"64","33","60"
"64","33","48"
"64","33","72"
"64","33","12"
"64","33","22"
"64","33","68"
"64","33","20"
"64","33","40"
"64","33","8"
"64","33","9"
"64","33","34"
"64","33","86"
"64","33","80"
"64","33","17"
"64","33","57"
"64","33","46"
"64","33","54"
"64","33","62"
"64","33","0"
"64","33","14"
"64","33","29"
"64","33","28"
"66","88","18"
"66","88","69"
"66","88","50"
"66","88","89"
"66","88","0"
"66","88","45"
"66","88","38"
"66","88","3"
"66","88","41"
"66","88","39"
"66","88","91"
"66","88","13"
"66","88","43"
"66","88","49"
"66","88","4"
"66","88","95"
"66","88","5"
"66","88","58"
"66","88","81"
"66","88","14"
"66","88","33"
"66","88","22"
"66","88","24"
"66","88","94"
"66","88","85"
"2","43","12"
"2","43","2"
"2","43","10"
"2","43","94"
"2","43","53"
"2","43","24"
"2","43","37"
"2","43","87"
"2","43","34"
"2","43","32"
"2","43","73"
"2","43","41"
"2","43","49"
"2","43","88"
"2","43","75"
"2","43","62"
"2","43","4"
"2","43","25"
"2","43","61"
"2","43","91"
"28","75","77"
"28","75","47"
"28","75","72"
"28","75","14"
"28","75","78"
"28","75","96"
"28","75","51"
"28","75","79"
"28","75","15"
"28","75","97"
"28","75","66"
"28","75","10"
"28","75","16"
"28","75","8"
"28","75","87"
"28","75","88"
"28","75","32"
"28","75","64"
"28","75","71"
"28","75","69"
"28","75","45"
"28","75","65"
"28","75","12"
"28","75","52"
"28","75","29"
"28","75","56"
"28","75","55"
"76","17","41"
"76","17","5"
"76","17","76"
"76","17","62"
"76","17","63"
"76","17","0"
"76","17","55"
"76","17","65"
"76","17","77"
"76","17","66"
"76","17","61"
"76","17","13"
"76","17","39"
"76","17","28"
"76","17","10"
"76","17","26"
"76","17","16"
"76","17","40"
"76","17","4"
"76","17","71"
"76","17","49"
"76","17","2"
"76","17","94"
"76","17","88"
"76","17","36"
"76","17","73"
"76","17","18"
"76","17","15"
"76","17","14"
"76","17","90"
"76","17","1"
"76","17","9"
"76","17","89"
"76","17","91"
"76","17","6"
"76","17","24"
"76","17","21"
